npy_path,filename,label,augmentations
mel_balanced_dataset/train/3e746bdd-6be2-482a-89ea-9da07d7364ca.npy,101_1b1_Al_sc_Meditron,0_0,none
mel_balanced_dataset/train/a4629999-7a8b-462b-8254-c286763594a4.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_-2+TS_1.1+SpecAug
mel_balanced_dataset/train/8b5dbbb2-b008-4cd8-bd8c-059dab548af0.npy,101_1b1_Al_sc_Meditron,0_0,PS_-2+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/46cfe239-ea5e-45b5-acf1-3cffc98c41ec.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+TS_0.9+SpecAug
mel_balanced_dataset/train/62f92708-8d74-4914-8d66-281061c480d6.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_1+TS_1.1+SpecAug
mel_balanced_dataset/train/4ecea750-fdf5-4097-80d3-366e727ceb5d.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_1+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/d916779b-e2a9-424b-82be-069c0bbd37b1.npy,101_1b1_Al_sc_Meditron,0_0,PS_1+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/7e8ffe4f-199b-4eef-99c2-eb491e034f38.npy,101_1b1_Al_sc_Meditron,0_0,TS_0.9+SpecAug
mel_balanced_dataset/train/3f089b36-f9dd-4754-8e5a-7160dffaa502.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+TS_0.7+SpecAug
mel_balanced_dataset/train/0aa7b4af-7cba-4b97-bd4b-921df649f5bf.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_1+TS_0.9+SpecAug
mel_balanced_dataset/train/dc539049-55cd-432a-9844-d2dbe9a73ed8.npy,101_1b1_Al_sc_Meditron,0_0,PS_1+TS_0.7+SpecAug
mel_balanced_dataset/train/13809e25-dde1-40b6-a93a-f7d56531519a.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_-2+TS_0.7+SpecAug
mel_balanced_dataset/train/e5c3a940-dfba-4f67-b419-5c45dd364de5.npy,101_1b1_Al_sc_Meditron,0_0,PS_-2+TS_1.1+SpecAug
mel_balanced_dataset/train/e15ecf3d-aecb-43ad-a5db-474d5b0ce0c6.npy,101_1b1_Al_sc_Meditron,0_0,PS_-2+TS_0.7+SpecAug
mel_balanced_dataset/train/e5bd8fb6-18de-49c3-a1d6-5656fc293b63.npy,101_1b1_Al_sc_Meditron,0_0,PS_1+TS_1.1+SpecAug
mel_balanced_dataset/train/85a22b3d-fced-4eb7-82f9-ead1b6f53d99.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+TS_1.1+SpecAug
mel_balanced_dataset/train/2c51e1d5-5144-439b-8ddb-528a898bca95.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/a567f0b8-4cc9-49a4-8e0c-cff54b34b5ed.npy,101_1b1_Al_sc_Meditron,0_0,TS_1.1+SpecAug
mel_balanced_dataset/train/8cffcdfe-c94b-4488-ba33-c302c3cba78d.npy,101_1b1_Al_sc_Meditron,0_0,PS_-2+TS_0.9+SpecAug
mel_balanced_dataset/train/e5debab8-223f-40d8-9089-9d070746b886.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_-2+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/77292fee-2267-4438-b127-240b0fac47de.npy,101_1b1_Al_sc_Meditron,0_0,TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/1df20fb4-f216-4cb1-81cf-5914ca542da3.npy,101_1b1_Al_sc_Meditron,0_0,TS_0.7+SpecAug
mel_balanced_dataset/train/4f709df6-2075-41cc-934e-79ad16416cc9.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_-2+TS_0.9+SpecAug
mel_balanced_dataset/train/0c552cf4-ce95-4a78-944b-288b13505b92.npy,101_1b1_Al_sc_Meditron,0_0,PS_1+TS_0.9+SpecAug
mel_balanced_dataset/train/8a2ccae0-b2eb-4d96-95ad-5c9620692ff8.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_1+TS_0.7+SpecAug
mel_balanced_dataset/train/c562e1ea-7d55-42ac-854a-f561a7069f43.npy,101_1b1_Al_sc_Meditron,0_0,none
mel_balanced_dataset/train/70d3105f-aea5-4c97-98a7-305cd88e1489.npy,101_1b1_Al_sc_Meditron,0_0,TS_1.1+SpecAug
mel_balanced_dataset/train/f68fa595-8dd5-4295-ade0-3c8d7dc97415.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+TS_0.9+SpecAug
mel_balanced_dataset/train/10c5f196-46f4-4d15-b676-1db7c994c878.npy,101_1b1_Al_sc_Meditron,0_0,PS_1+TS_1.1+SpecAug
mel_balanced_dataset/train/a3c2e2eb-c069-4c3e-b0b0-3299b310f671.npy,101_1b1_Al_sc_Meditron,0_0,PS_1+TS_0.7+SpecAug
mel_balanced_dataset/train/6a84c5e6-f64a-462e-8acc-9cd6445ff8b9.npy,101_1b1_Al_sc_Meditron,0_0,TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/8e3bf8b4-485a-47bb-85f8-5abe3406f9ab.npy,101_1b1_Al_sc_Meditron,0_0,TS_0.7+SpecAug
mel_balanced_dataset/train/eacc19b0-d485-4d26-bc8a-4125f2e51569.npy,101_1b1_Al_sc_Meditron,0_0,PS_-2+TS_0.9+SpecAug
mel_balanced_dataset/train/cd9219f4-39cb-4ec5-b28b-2193c9f6e69d.npy,101_1b1_Al_sc_Meditron,0_0,PS_-2+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/3f7f252b-31d6-473d-bc70-58318052b5ed.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_-2+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/490dbd60-3f08-474d-9f3f-8a95c4335fdb.npy,101_1b1_Al_sc_Meditron,0_0,TS_0.9+SpecAug
mel_balanced_dataset/train/3fcebe6f-2c07-4ea3-947b-c781fb985a99.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_-2+TS_0.9+SpecAug
mel_balanced_dataset/train/2d846698-f492-48f1-b704-f431159442f9.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_-2+TS_0.7+SpecAug
mel_balanced_dataset/train/d1c8451c-deac-46ae-9e83-b0e559215185.npy,101_1b1_Al_sc_Meditron,0_0,PS_-2+TS_1.1+SpecAug
mel_balanced_dataset/train/49397c02-8735-4d28-bf68-c1902b020783.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+TS_1.1+SpecAug
mel_balanced_dataset/train/01696c9f-2f50-474e-b4f2-7280c9d0c286.npy,101_1b1_Al_sc_Meditron,0_0,PS_-2+TS_0.7+SpecAug
mel_balanced_dataset/train/9b9a59be-aed1-4f84-9c34-53987688c31a.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+TS_0.7+SpecAug
mel_balanced_dataset/train/1b3fab26-e2d5-4060-8a1e-3b638cf50ad3.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_1+TS_0.7+SpecAug
mel_balanced_dataset/train/c974e290-aeb8-46c7-954a-e9a3b8eb6a83.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/a76a8491-87bf-410f-aeae-937d53d76e99.npy,101_1b1_Al_sc_Meditron,0_0,PS_1+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/c9d321e1-e359-42b3-b16d-d2057db5bc2c.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_1+TS_1.1+SpecAug
mel_balanced_dataset/train/4544e5dd-9e54-4579-964d-24c3b30614c6.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_1+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/5b44404e-6ace-4b3c-a9f0-9a51e01f94e6.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_1+TS_0.9+SpecAug
mel_balanced_dataset/train/b34fd096-50cf-469f-8846-92742f714b08.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_-2+TS_1.1+SpecAug
mel_balanced_dataset/train/339917ca-7797-4950-8599-17eca0eba5b6.npy,101_1b1_Al_sc_Meditron,0_0,PS_1+TS_0.9+SpecAug
mel_balanced_dataset/train/379ddb76-f81d-4fbe-8f95-db87b54721e6.npy,101_1b1_Al_sc_Meditron,0_0,none
mel_balanced_dataset/train/2ccb652e-20b9-4cf8-95ac-715fdf6ddcfa.npy,101_1b1_Al_sc_Meditron,0_0,PS_-2+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/ac580bf1-dca6-4071-a67b-42aa7327ccda.npy,101_1b1_Al_sc_Meditron,0_0,SNR_10dB+PS_1+TS_1.0_skipped+SpecAug
mel_balanced_dataset/train/d49dc25c-af4f-445f-8966-e929680268c5.npy,101_1b1_Al_sc_Meditron,0_0,TS_1.1+SpecAug
mel_balanced_dataset/train/76f2aa1d-0ae1-4dd6-b705-430fad65467e.npy,101_1b1_Al_sc_Meditron,0_0,PS_1+TS_1.0_skipped+SpecAug
